pid,lat,lon,euclidean_distance
p988395,35.92342774,-81.97750055,5.436986943289186
p1039732,35.92393608,-105.6070618,7.888177513987738
p1377923,35.92402972,-84.18489826,5.036690760734562
p650051,35.92483236,-93.47429823,9.101673623650182
p1037148,35.92512666,-106.8628695,4.844418549352614
p947076,35.92529611,-81.95810792,6.210958341607804
p1026559,35.92592038,-105.7210766,6.231690197519963
p954217,35.92649115,-81.30121099,6.471631677330553
p1025081,35.92656249,-104.9418085,15.040227922964538
p656366,35.92835505,-90.09846444,6.4382475670406905
p997328,35.92949212,-77.3701433,6.832767142615442
p954422,35.93112415,-79.08473454,9.30352116181663
p572087,35.93264025,-109.9376338,3.8198656322165214
p1025441,35.9327874,-105.4883427,5.6868566440403105
p1376795,35.93369705,-84.96786735,3.199195341556607
p648531,35.93390217,-90.39560109,4.053611715487012
p1388889,35.93479845,-84.7244049,6.127537428249205
p1379469,35.93556542,-83.02058684,5.572993717378067
p984003,35.93598457,-76.69385374,6.030687570099749
p998498,35.93622536,-79.28290591,9.24905470679105
p1457343,35.93653304,-95.02967727,6.274276651343403
p987138,35.93658655,-82.79000227,4.316412514617289
p1044236,35.93697003,-107.7124398,3.4694037775760664
p951822,35.93748729,-77.16735676,5.722496039044661
p1459209,35.93927093,-94.96199704,6.989829417248315
p1387740,35.93967225,-86.18222326,4.734202427687171
p1385040,35.93988629,-84.45397379,6.785808102809937
p650062,35.93992642,-94.22288766,3.7353987184226995
p1383657,35.9399933,-85.18692961,5.89569175053645
p655851,35.93999776,-94.31240411,6.924399093334708
p950548,35.94004681,-77.11216647,6.449905978645547
p953980,35.94030098,-81.15750754,3.2114157536511665
p1035454,35.94053285,-107.6735029,3.661288371474358
p1455411,35.94096093,-94.81961794,6.712625686953751
p1456367,35.94128644,-94.7540201,7.309321208866882
p576762,35.94133995,-113.1866686,6.996378211695508
p583078,35.94190626,-113.5028545,6.2545267277513465
p1009978,35.94263755,-105.8599731,9.992114349411695
p648177,35.9429051,-93.53425531,8.907709629072322
p998558,35.94303887,-75.91454111,7.995474733204507
p954232,35.943079,-81.9433037,4.326840062531059
p997222,35.9432975,-79.12254326,8.344372534696593
p156434,35.94385043,-118.3124409,5.228865408876072
p582875,35.94411797,-113.1060881,11.349165921986863
p997883,35.94549583,-81.50563847,6.837220827471101
p575170,35.94629401,-112.2388777,7.523172384883395
p999731,35.9463609,-81.54147181,3.9655821039900787
p585638,35.94740879,-109.268831,14.11915770713558
p648527,35.94822926,-90.37625751,6.30999818523473
p573159,35.94825602,-113.11374,3.1184686232260073
p1028183,35.94842546,-106.3765511,4.524155477557039
p161485,35.9485191,-118.2588291,4.771223590189082
p1379939,35.94893826,-84.82791401,7.069460154344077
p1026782,35.94939309,-106.8998667,12.171214477657102
p1036923,35.94969185,-108.7280446,3.5985040791869207
p1383197,35.950111,-87.02213954,5.745526628505255
p577848,35.95082,-109.286819,14.211069440703652
p1007160,35.95088689,-106.5060478,7.32415886068576
p1379430,35.95124362,-87.23513296,6.370040639155461
p1383035,35.95129267,-83.03490056,3.6903729128332587
p1387930,35.95182776,-88.56101098,5.746863286690411
p606544,35.95203288,-109.39629,3.0210257853398788
p997488,35.95222908,-81.34988207,4.716355183800607
p653371,35.95250108,-92.12469333,12.013100744785934
p1362836,35.95289348,-88.45899567,6.781597795048231
p1040272,35.95352668,-106.7160893,4.713765057286269
p1379758,35.95372288,-89.59588361,4.427132540007827
p1039681,35.95396813,-106.6678418,6.704917654535316
p648194,35.95506507,-92.3410177,9.664145845118934
p574282,35.95513641,-109.1196875,13.168332477997586
p642216,35.95535491,-93.20488827,5.2466130538358575
p650325,35.9556938,-94.07491239,9.031441123078308
p1387721,35.95579636,-86.87279532,5.70253753125153
p1360937,35.95590784,-82.80969366,4.091783804841948
p1379556,35.95627348,-87.70432403,6.567950942897558
p1026785,35.95638496,-106.7359412,5.2642823032414165
p1010432,35.95652765,-106.8834929,11.687350906029828
p652691,35.95699586,-93.15774219,7.3898401951901915
p1380033,35.95700477,-86.91296737,5.921465874844325
p607824,35.95707612,-109.1736872,14.337097425598241
p648647,35.95759338,-93.10394314,8.172388960773384
p1026547,35.95798132,-105.8267127,7.687423847662141
p647510,35.95832913,-92.18670159,9.790648565688363
p86930,30.17444699,-83.98860863,2.308628584098485
p607201,35.95906042,-109.0539336,6.39067156488686
p576209,35.95906934,-112.2172734,6.37490919073594
p1025324,35.9594662,-105.5716744,4.5075450342644
p1035563,35.95957322,-105.8312966,9.395938151872096
p656527,35.95958213,-93.267008,2.413600932927942
p1387057,35.95960443,-85.23132442,6.156024784872459
p649811,35.96005034,-93.05359543,3.7361966441296732
p997233,35.96046058,-82.11146532,5.490466559918835
p1377960,35.96053638,-88.03606777,4.9943643710483725
p647826,35.96063448,-91.69853704,6.32425053040317
p999674,35.96117849,-82.42553764,3.404653419881391
p1388878,35.96120079,-82.94424703,3.556865871362328
p582854,35.96133902,-111.7193166,8.349675730040031
p652623,35.96163778,-92.45516177,7.424581441092761
p582873,35.96181169,-111.788076,5.659374352153084
p1498501,30.17503559,-100.631093,5.990704208380808
p189578,35.96255635,-118.4111966,6.21426934312047
p582885,35.96260541,-112.2294556,6.325101632553231
p954424,35.96303348,-76.98422594,7.692331172715947
p575661,35.96329211,-110.0457803,8.60279206743681
p103555,30.17527192,-84.69575071,9.920383600220761
p1035871,35.96369788,-105.5588946,5.316251195435044
p1006498,35.96393422,-105.6651282,5.384706993122175
p1027239,35.96408583,-106.4988062,7.019722205102705
p606297,35.96427757,-111.8882006,4.324970502099428
p648200,35.96437121,-91.22560033,5.2150298331574545
p607200,35.96461646,-109.9510066,4.14074306109688
p101181,30.17611469,-84.86284661,2.9237126203676636
p648175,35.96487509,-93.36394886,8.715603824993941
p576348,35.96538342,-112.0000349,4.728358175137158
p189570,35.96552612,-118.3531792,10.969061780864328
